,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,latitude,longitude,title,url,Listing Month,Listing Year,lat_long,FullAddy
226,160,1,9,Austin,Nov-14,"PLEASE READ EVERYTHING BEFORE BOOKING\n\nOur condo is located in a perfect spot to explore and enjoy Austin. We sit in the middle of Austin's eclectic East Austin bars, restaurants and shops and downtown Austin. Our favorite features are the floor to ceiling windows to enjoy the panoramic city views and the walkability of the location. You'll be short walk to Austin's 6th Street bars, Austin Convention Center, Rainey Street, and Lady Bird Lake.",30.26611565,-97.7327258,Conveniently Located E 6th St. Condo with a View!,https://www.airbnb.com/rooms/15271035?location=Austin%2C%20TX,November,2014,"30.2661156477782,-97.73272580455341","905 E 7th St, Austin, TX 78702, USA"
232,187,3,9,Austin,Aug-16,Large two story house close to the city. Three bedrooms and a couch that pulls out to a queen bed plus two more full couches as well as two love seats. Comfortably sleeps up to nine!,30.18835401,-97.81606795,"2,300 Sq ft home only 7 miles from downtown!",https://www.airbnb.com/rooms/14848100?location=Buda%2C%20TX,August,2016,"30.1883540136786,-97.8160679525365","8414 Dulcet Dr, Austin, TX 78745, USA"
256,79,0,8,Austin,Dec-16,"Enjoy your own private East Austin studio just 3 miles from the city center. Lounge on the shady patio with your morning coffee, or explore the nearby breweries, art galleries, and restaurants all within easy reach.",30.26704789,-97.68989589,Cozy & Clean Backyard Studio in East Austin,https://www.airbnb.com/rooms/16273287?location=Austin%2C%20TX,December,2016,"30.267047893547,-97.68989589072149","4908 Alf Ave, Austin, TX 78721, USA"
258,139,2,8,Austin,Feb-17,"Newly remodeled Downtown charmer- 2 bedrooms, 1 1/2 baths, sitting room, living room, dinning room, huge front porch with downtown views- only 1 mile from downtown, big back yard with paved porch area, driveway for parking. 1400 sqft. Walking distance to awesome restaurants on 6th, liquor store, Waterloo Record Store and a bunch of other cool places along the way. Exactly 1 mile to the very middle of downtown, 6th and Congress. Close to Zilker Park for ACL. Great for business, festivals etc.",30.27456699,-97.7580592,Downtown Bungalow - Newly Remodeled w Great Views,https://www.airbnb.com/rooms/17639662?location=Austin%2C%20TX,February,2017,"30.274566993262898,-97.75805920144421","713 Brownlee Cir, Austin, TX 78703, USA"
263,50,1,6,Buda,Feb-17,My place is 15 miles from downtown Austin and 10 miles from historic South Congress. My place offers a great opportunity to be close to all the excitement of Austin while also allowing you to have relaxing evenings.,30.05988156,-97.8143251,Close to the city with relaxation,https://www.airbnb.com/rooms/17460657?location=Buda%2C%20TX,February,2017,"30.0598815558375,-97.8143251048119","142 Feathergrass Dr, Buda, TX 78610, USA"
268,130,1,3,Austin,Jan-15,The SoCo Nook is conveniently located! \,30.19237135,-97.7816127,The SoCo Nook,https://www.airbnb.com/rooms/14900580?location=Buda%2C%20TX,January,2015,"30.192371346370102,-97.78161269523821","206 Clearday Dr, Austin, TX 78745, USA"
269,40,1,5,Austin,Jun-14,"Cozy private room, very close to the airport and 7 miles from downtown Austin. The room is simple but equipped with everything you would need for a comfortable stay. Double bed, two bed side tables, full closet to tuck away your belongings in. The full bath is shared with another air bnb listing. Bathroom has toiletries and hairdryer. Feel free to use our living room, dining area and kitchen. We also have a nice back patio great for soaking up sun or night drinking.",30.1925213,-97.73138523,"Cozy/Private Room, Minutes to Downtown!",https://www.airbnb.com/rooms/17423956?location=Austin%2C%20TX,June,2014,"30.1925213034893,-97.73138523112","5803 Lark Creek Dr, Austin, TX 78744, USA"
279,550,1,6,Austin,Mar-14,"Super cute brand new house in east Austin. Close to bike trails to downtown Austin, and located exactly 6 miles from the capitol. An Uber home cost about 12-15$ from bars downtown (if not surging).",30.27640783,-97.62591641,Brand New house in East Austin,https://www.airbnb.com/rooms/17155750?location=Bastrop%20County%2C%20TX,March,2014,"30.2764078315916,-97.6259164115658","9600 Wayside Blvd, Austin, TX 78724, USA"
283,43,1,8,Austin,Feb-14,"South Austin, close to downtown. Walk to coffee, restaurants, and shopping. This house is old and ready for a remodel, but we keep it clean and it's a very safe, family-friendly neighborhood, while still close to much of Austin's fun.\n\nThis is a single, private room with both a queen bed and a twin-sized daybed.",30.2474314,-97.77883535,"Quiet family neighborhood, a block off South Lamar",https://www.airbnb.com/rooms/17408557?location=Austin%2C%20TX,February,2014,"30.2474313996375,-97.77883534993641","2011 Montclaire St, Austin, TX 78704, USA"
297,97,1,4,Austin,Sep-11,"Walking distance to downtown and so many restaurants. One bedroom with a queen bed and another open room in between that has two twin beds. Lots of light, very clean, and an old Austin feel.",30.27661265,-97.73461312,Genuine Chic Downtown Flat-central,https://www.airbnb.com/rooms/8267387?location=Cedar%20Park%2C%20TX,September,2011,"30.276612649305395,-97.73461311554328","1500 Red River St, Austin, TX 78701, USA"
306,33,1,7,Austin,Jun-13,"Our place is a perfectly situated landing pad for new arrivals. We are close to almost every corner of the city, and we love giving new Austinites a warm welcome. We are totally a smoke-free home.",30.34622132,-97.6876224,New Arrival Haven - comfy and close,https://www.airbnb.com/rooms/13676088?location=Austin%2C%20TX,June,2013,"30.3462213196081,-97.68762240143629","8605 Danville Dr, Austin, TX 78753, USA"
311,199,1,5,Austin,Aug-12,Located one block south of the Capitol in a historical building on the corner of Congress Avenue this apartment is walkable to:\n- All of downtown\n- The University of Texas\n- Paramount Theatre\n- 6th Street\n- Lady Bird Lake,30.2708362,-97.74143126,Historical Loft with Capitol View!,https://www.airbnb.com/rooms/669469?location=Brazos%20River%2C%20TX,August,2012,"30.2708361983106,-97.7414312619996","901 Congress Ave, Austin, TX 78701, USA"
319,99,0,2,Austin,Jun-16,"Private treetop retreat in West Austin, only 4 miles from downtown Austin! Parking provided and separate private entrance. 180 degree views from the balcony and freshly decorated. Quiet neighborhood. The windows face west, so watch the gorgeous sunsets we have. If you do not like stairs, this is not the place for you. The room is two flights of stairs up from the parking area.",30.28254783,-97.82910595,Treetop Retreat,https://www.airbnb.com/rooms/17511653?location=Bee%20Cave%2C%20TX,June,2016,"30.282547832560898,-97.82910594581341","1309 Kittansett Cove, Austin, TX 78746, USA"
332,83,1,5,Austin,Jul-13,"Tucked behind our house in the Zilker neighborhood in South Austin, this sunny one-bedroom, one-bathroom cottage accommodates one or two people perfectly. We've got two great bikes you're welcome to borrow any time. Austin license: 2013 OL 122394.",30.25230643,-97.77757215,Private and Sunny Zilker Cottage,https://www.airbnb.com/rooms/1484462?location=Brazos%20River%2C%20TX,July,2013,"30.252306429800402,-97.77757215406919","2100 Paramount Ave, Austin, TX 78704, USA"
357,35,1,8,Austin,May-17,"Great, private guest room with Cable TV/DVD, closet, private bathroom, use of common areas and washer/dryer, and WiFi.\nSouthwest Austin / Safe Neighborhood. Less than 10 miles from Downtown, 7 miles from Zilker, 4 miles from Barton Creek Green Belt, and 20 mins from Airport. I do have an extra air mattress if two guests.",30.21603018,-97.85869142,Cozy/Private Room in Nice Home close to Downtown,https://www.airbnb.com/rooms/18806788?location=Bee%20Cave%2C%20TX,May,2017,"30.216030177163702,-97.8586914245625","7709 Vail Valley Dr, Austin, TX 78749, USA"
365,364,2,5,Austin,Mar-13,"If you're looking for a place where you can walk to the UT Football stadium or even the Texas Capitol, but also stay in a cozy house and neighborhood, this is the place! Located downtown meaning you are close to everything and to top it off an incredible view of the Texas Capitol building from the open living and dining area.",30.27394395,-97.73043148,Downtown with Stunning Capitol View,https://www.airbnb.com/rooms/5396676?location=Brazos%20River%2C%20TX,March,2013,"30.273943952790898,-97.7304314753081","901 E 14th St, Austin, TX 78702, USA"
369,399,4,4,Austin,Nov-14,"Brand New Cozy 4BR w/Wifi &amp; Private Patio - In the Heart of ATX Between S Lamar and S Congress! Easy Access to Downtown Live Music, Funky Shops, Renowned Restaurants and Greenbelt Hiking! \nStay in a quiet home that is close to the heart of Austin...",30.23243969,-97.77998493,private indulgence near downtown,https://www.airbnb.com/rooms/7351170?location=Brazos%20River%2C%20TX,November,2014,"30.2324396887511,-97.77998492861559","1508 Southport Dr, Austin, TX 78704, USA"
371,135,1,5,Austin,Feb-14,"Enjoy an idyllic stay at our sustainable urban farm and guesthouse close to everything in Austin. Have the whole cottage to yourself, an organic garden and full kitchen at your your disposal, chickens, ducks, geese, rabbits and donkeys to entertain.",30.26530049,-97.69991544,HausBar Farm Urban Farm GuestHaus,https://www.airbnb.com/rooms/2349236?location=Brazos%20River%2C%20TX,February,2014,"30.265300490647302,-97.6999154356187","3404 Govalle Ave, Austin, TX 78702, USA"
384,37,1,5,Austin,Aug-15,"Hey! I'm Jeff, and welcome to my home. It's a stylish, artful, and spacious one bedroom with a hallway bathroom (that's reserved for this and the other Airbnb room). Comfortable Queen-sized bed. I've been in Austin for 5 years, AMA!",30.31034353,-97.6907244,"Clean, Comfy & Stylish Room",https://www.airbnb.com/rooms/7726673?location=Brazos%20River%2C%20TX,August,2015,"30.3103435290198,-97.6907243991094","1911 Northridge Dr, Austin, TX 78723, USA"
385,75,1,5,Austin,Aug-13,"Renovated bus in central Austin back yard with interior wood paneling and all your creature comforts. Walking distance to lively Cherrywood neighborhood bars, restaurants, theaters and grocery. Direct bus to downtown or UT campus. STR Lic. (phone number hidden)",30.29515512,-97.71293468,Backyard Land Yacht in Cherrywood,https://www.airbnb.com/rooms/7462609?location=Brazos%20River%2C%20TX,August,2013,"30.295155121806697,-97.7129346757763","4008 Maplewood Ave, Austin, TX 78722, USA"
415,76,0,3,Austin,Mar-17,Minimal studio apartment located in South Austin. Right across street from bus stop. Minutes to Downtown.,30.19100924,-97.77827214,South Austin Studio,https://www.airbnb.com/rooms/17698397?location=Buda%2C%20TX,March,2017,"30.1910092404913,-97.7782721369825","6708 Circle S Rd, Austin, TX 78745, USA"
417,59,1,5,Round Rock,Jun-14,"Lge 2-Story 5 BDR Corner Hse w/2 Car Garage, has 5 cozy, cool, comfortable, nicely furnished rms w/3 spacious Bathrooms; ABP, short-term, min. 2 days; fully equipped; kitchen has new gourmet stove, microwave &amp; oven.",30.47043748,-97.64767859,Calm Blue BDR/Bath w/Parking Incl.,https://www.airbnb.com/rooms/11711064?location=Coupland%2C%20TX,June,2014,"30.4704374826113,-97.64767859001542","1506 Arusha St, Round Rock, TX 78664, USA"
419,450,5,6,Kyle,Feb-16,"The Twin Cabins are a Victorian style country hotel that is off the beaten path. The whole 2 cabins can accommodate up to 16 people. Each fully furnished cabin consist of a full kitchen, full bathroom &amp; living area. Total of 2 Bathrooms, 2 kitchens, 2 living rooms.",30.03151282,-97.76061052,WHOLE 2.1 Cabins -Victorian Country Cabins,https://www.airbnb.com/rooms/18746803?location=Buda%2C%20TX,February,2016,"30.0315128177896,-97.7606105159029","201 Gardner Rd, Kyle, TX 78640, USA"
430,54,1,8,Austin,Dec-15,"My place is close to a creek, nature, shopping. You‰Ûªll love my place because of the comfy bed, big patio, quiet area, the great hiking trails. My place is good for couples, solo adventurers, and business travelers.\n\nI have a private bedroom with a queen bed and private access to a bathroom. I also have a pull out queen sized sofa very close to the guest bathroom.",30.38300429,-97.76838274,"Apartment in NW Hills, Arboretum, Capital of Texas",https://www.airbnb.com/rooms/12948242?location=Cedar%20Park%2C%20TX,December,2015,"30.383004287361,-97.76838274070921","5343 Old Spicewood Springs Rd, Austin, TX 78731, USA"
435,59,1,4,Austin,Feb-14,"The Cherry Creek Private Retreat is your own personal corner of Austin's welcoming, natural zen space. A clean hotel-like ambiance with fun accents, a lush and peaceful outdoor sitting area, and a gorgeous slate rain shower set this luxurious private bed/bath apart. 15 minutes or less away from downtown, the airport, Town Lake, the greenbelt, and Barton Springs; just 30 minutes from Circuit of the Americas and the San Marcos Outlet Mall.",30.19324162,-97.8180449,Cherry Creek Private Retreat,https://www.airbnb.com/rooms/15057821?location=Buda%2C%20TX,February,2014,"30.193241622392897,-97.81804489809349","8113 Appomattox Dr, Austin, TX 78745, USA"
440,54,1,4,Austin,Sep-15,"Located minutes from downtown and walking distance to multiple bus lines. Private room with Bathroom Access. King Sized Tempurpedic Bed. Snacks, Pool, and Washer/Dryer. Ironing board (no iron) in unit. High Speed Wifi! No pets! No smoke!",30.348379,-97.75177396,"Quiet Comfort, Convenient Location",https://www.airbnb.com/rooms/9077780?location=Cedar%20Park%2C%20TX,September,2015,"30.3483790042479,-97.75177396079441","65005 E Hill Dr, Austin, TX 78731, USA"
454,152,2,8,Austin,Oct-13,"Fantastic Newly Remodeled 2 bedroom duplex in Central Austin less than 10 minutes drive to all of the live music and events downtown. University of Texas campus 3 miles away. Circuit of the Americas F1 race track is 15 min away. Everything is Brand New and nothing was overlooked in this Mid Century Modern house. Quartz counter tops, travertine stone floors, new appliances, floor to ceiling vaulted windows, private courtyard and backyard. Quiet neighborhood with shopping and restaurants nearby.",30.32028119,-97.68357609,MODERN SUPER TRENDY Central Austin 8 min Downtown,https://www.airbnb.com/rooms/14706958?location=Cedar%20Park%2C%20TX,October,2013,"30.3202811885076,-97.68357609484241","2102 Columbia Cove, Austin, TX 78723, USA"
472,180,3,5,Austin,Apr-16,"You will love my home - recently updated throughout to a high standard, located in a very convenient and central, neighborhood. Everything in the house is new, and is well equipped - stove/oven, fridge, microwave, dishwasher, coffee maker, toaster, kettle. Ceiling fans installed in all bedrooms with AC/heat, Wi/Fi internet, TV, Directv Now &amp; Netflix. The great deck &amp; backyard will make you feel right at home. My place is good for couples, solo &amp; business travelers, families (with kids) &amp; groups.",30.39069951,-97.70127237,Awesome home near The Domain,https://www.airbnb.com/rooms/16584712?location=Coupland%2C%20TX,April,2016,"30.390699507347698,-97.7012723695038","11403 Hidden Quail Dr, Austin, TX 78758, USA"
477,150,2,5,Austin,May-15,From this house you can get downtown in less than 15 minutes. The front yard is spacious and perfect for pets (no fence). There are two bedrooms each with king size beds. Stay in a beautiful neighborhood and enjoy the city.,30.38616415,-97.68003864,Cozy 2 bedroom with deck,https://www.airbnb.com/rooms/17662778?location=Coupland%2C%20TX,May,2015,"30.386164146079196,-97.68003863778691","11803 Hornsby St, Austin, TX 78753, USA"
495,99,1,8,Austin,Feb-13,"Peaceful lake retreat with modern &amp; vintage decor and an artistic touch. Walk to Lake Travis. Lounge &amp; dine on our shaded patio surrounded by trees. Full kitchen with everything needed to prepare a meal. Many nearby swimming, hiking, &amp; recreational activities in the area with a restaurant &amp; marina in the neighborhood. Records, books, TV, games for your enjoyment. Enjoy the peacefulness &amp; beauty of the hill country with only a 30 min drive to just about anything in Austin.",30.37973678,-97.95573831,Serene mid-century lake house steps to Lake Travis,https://www.airbnb.com/rooms/18563602?location=Bee%20Cave%2C%20TX,February,2013,"30.3797367758476,-97.95573830845422","16203 Spring Branch Trail, Austin, TX 78734, USA"
502,30,1,4,Round Rock,Oct-14,"My place is close to activities and the airport. You‰Ûªll love my place because of the neighborhood, the outdoors space, and the kitchen. My place is good for business travelers. Whether you are here on contract, traveling nurse or for an extended vacation.",30.54834057,-97.60498939,Comfy and Clean Paradise,https://www.airbnb.com/rooms/13968418?location=Coupland%2C%20TX,October,2014,"30.548340569884896,-97.6049893909141","8116 Rosano St, Round Rock, TX 78665, USA"
519,99,1,10,Cedar Park,Jul-15,"This apartment is: \n* Just outside NW Austin city limits in Cedar Park\n* Convenient to all things Austin\n* Minutes from Lake Travis\n* Located a few minutes from the Austin Metro Rail\n* In an area where Uber and Lyft are available! \n* Walking distance to local parks, restaurants and dining\n* Down the street from one of the area's largest malls\n* A popular place because of location \n* Good for couples, solo adventurers, and business travelers\n* FREE WIFI",30.48437502,-97.83412433,Comfy NW Austin Suburb Apt near Metro Rail to Aus,https://www.airbnb.com/rooms/13153903?location=Cedar%20Park%2C%20TX,July,2015,"30.4843750193142,-97.83412432571691","1600 S Lakeline Blvd, Cedar Park, TX 78613, USA"
530,250,3,7,Kyle,Feb-16,"The Twin Cabins are a Victorian style country hotel that is off the beaten path. Each cabin can accommodate up to 7 people and 4 more in the additional loft included. Each fully furnished cabin consist of a full kitchen, full bathroom &amp; living area",30.03122341,-97.76088109,D + LOFT - Victorian country Cabin,https://www.airbnb.com/rooms/18650682?location=Buda%2C%20TX,February,2016,"30.0312234096184,-97.7608810935446","201 Gardner Rd, Kyle, TX 78640, USA"
538,260,2,1,Austin,Jul-13,"Hi.New.Lovely country-house.Perfect long/short terms stays,great view,relaxing,2BR queen+2 SB queen on LR,alarm,TVcable,deck,full kitchen, W/D, ,towels,soap,water, GPS .Outside of Austin,on Del Valle,3.7miles to COTA,only 25min to Downtown.Thanks :)",30.13635204,-97.63207995,2BRHouse/3.5Miles/F1-COTA/Short/LongTermRates/6pax,https://www.airbnb.com/rooms/1722387?location=Cedar%20Creek%2C%20TX,July,2013,"30.1363520407767,-97.6320799522213","Turn 6, Del Valle, TX 78617, USA"
539,155,2,5,Austin,Aug-14,"Artisan remodeled home in best possible location in Austin. It's Only 200 yards from the river, as well as walking distance from all of Austin's best bars and entertainment. Cozy street on hike n bike trail is ideal for anyone wanting outdoor fun without having to deal with traffic/parking.",30.25163257,-97.72475514,Beautiful eastside river area house,https://www.airbnb.com/rooms/5643631?location=Colorado%20River%2C%20TX,August,2014,"30.2516325673751,-97.72475514146049","2009 Haskell St, Austin, TX 78702, USA"
554,50,1,6,Round Rock,Feb-16,"IT'S EVERYTHING: 1 bedroom, bath, sitting room, balcony overlooking Bright Lake views &amp; walking trails, secluded garden &amp; direct access to Old Settler's Park . Walking distance to Dell Diamond &amp; shopping. Minutes to Historic DT entertainment.",30.53683123,-97.62418345,Rooms with a View- Room one.,https://www.airbnb.com/rooms/11376077?location=Coupland%2C%20TX,February,2016,"30.5368312337459,-97.624183452248","1301 Mickey Mantle Pl, Round Rock, TX 78665, USA"
566,37,1,6,Austin,May-15,"My house is close to Lakeline Mall, highways and the toll road, restaurants, grocery stores, hike and bike trails, parks, Lake Travis. You‰Ûªll love my home because of the quiet, safe neighborhood, the light, the really comfy king size bed, the sunny kitchen, the gardens, hammocks and hot tub.. My place is good for couples, solo adventurers, business travelers, and families (with kids). I also have 2 other rooms so if you need more beds please check out my other listings too.",30.45737391,-97.8163944,Beautiful king bedroom in NW Austin,https://www.airbnb.com/rooms/15162593?location=Cedar%20Park%2C%20TX,May,2015,"30.4573739060196,-97.8163943995076","12000 Hardwood Trail, Austin, TX 78750, USA"
567,41,1,6,Austin,Aug-15,"Hey! I'm Jeff, and welcome to my home. It's a spacious one bedroom with a hallway bathroom (that's reserved for this and the other Airbnb room). Comfortable King-sized bed. I've lived here in Austin for 6 years, AMA!",30.30897357,-97.69069161,"Clean, Comfy, King Room at Mueller",https://www.airbnb.com/rooms/7747487?location=Austin%2C%20TX,August,2015,"30.3089735665063,-97.6906916101235","5602 Westminster Dr, Austin, TX 78723, USA"
580,49,1,5,Austin,Dec-15,"Besides being great for one night, the bedroom and bathroom have storage to accommodate longer stays. It's the perfect set-up for someone new to the Austin who needs to explore housing and job options.",30.41344133,-97.74862165,Arboretum-NW Austin Bed & Bath,https://www.airbnb.com/rooms/10233521?location=Cedar%20Park%2C%20TX,December,2015,"30.413441334144,-97.74862164673651","11500 Jollyville Rd, Austin, TX 78759, USA"
597,30,1,5,Austin,Sep-16,"Hey, my place is 10 miles to Circuit of the Americas, 8 miles to the Airport. Very quiet community. The house has two bedrooms. Each bedroom has a queen size bed. Private bathroom. The house has high-ceiling throughout and large living area with all furnished. The kitchen is fully equipped with attached washer and dryer. I offer guests a light breakfast, such as coffee, juice, rolls, butter and jam. My place is good for couples, solo adventurers, business travelers, and families.",30.23888877,-97.57881532,Cozy Room with light breakfast,https://www.airbnb.com/rooms/15274260?location=Cedar%20Creek%2C%20TX,September,2016,"30.2388887738088,-97.57881532067671","15202 Lucian Drive, Austin, TX 78725, USA"
